"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","OP_CARRIER","OP_CARRIER_AIRLINE_ID","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DEL15","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY"
2025,7,12,6,"UA","UA",19977,"N37553",2398,"EWR","Newark, NJ","NJ","CLE","Cleveland, OH","OH",2042,2131,49,1,2309,40,0,"",98,58,404,23,0
2025,7,5,6,"AA","AA",19805,"N986AN",1409,"FLL","Fort Lauderdale, FL","FL","CLT","Charlotte, NC","NC",1349,1430,41,1,1614,5,0,"",104,86,632,NA,NA
2025,7,28,1,"DL","DL",19790,"N871DN",1703,"ATL","Atlanta, GA","GA","STL","St. Louis, MO","MO",904,903,-1,0,938,-3,0,"",95,69,484,NA,NA
2025,7,2,3,"AS","AS",19930,"N442AS",443,"PHL","Philadelphia, PA","PA","SEA","Seattle, WA","WA",1852,1859,7,0,2142,-15,0,"",343,318,2379,NA,NA
2025,7,10,4,"DL","DL",19790,"N3738B",2085,"MSY","New Orleans, LA","LA","LAX","Los Angeles, CA","CA",705,658,-7,0,845,-15,0,"",227,206,1671,NA,NA
2025,7,30,3,"DL","DL",19790,"N121DU",1367,"SMF","Sacramento, CA","CA","SLC","Salt Lake City, UT","UT",940,1355,255,1,1639,256,0,"",104,74,532,0,0
2025,7,7,1,"AA","AA",19805,"N989NN",3205,"MIA","Miami, FL","FL","LGA","New York, NY","NY",705,701,-4,0,952,-7,0,"",171,150,1096,NA,NA
2025,7,10,4,"UA","UA",19977,"N27274",1285,"ORD","Chicago, IL","IL","PIT","Pittsburgh, PA","PA",720,712,-8,0,940,-16,0,"",88,61,413,NA,NA
2025,7,7,1,"OO","OO",20304,"N915SW",5094,"ORD","Chicago, IL","IL","RHI","Rhinelander, WI","WI",1057,1055,-2,0,1218,-1,0,"",83,47,264,NA,NA
2025,7,25,5,"DL","DL",19790,"N951AT",3088,"ATL","Atlanta, GA","GA","DAY","Dayton, OH","OH",1658,1651,-7,0,1816,-17,0,"",85,64,432,NA,NA
2025,7,10,4,"DL","DL",19790,"N865DN",654,"SJC","San Jose, CA","CA","ATL","Atlanta, GA","GA",630,624,-6,0,1409,-9,0,"",285,256,2116,NA,NA
2025,7,16,3,"F9","F9",20436,"N374FR",4672,"PHX","Phoenix, AZ","AZ","DTW","Detroit, MI","MI",2359,2349,-10,0,630,-30,0,"",221,188,1671,NA,NA
2025,7,21,1,"DL","DL",19790,"N888DU",2180,"DTW","Detroit, MI","MI","SMF","Sacramento, CA","CA",2021,2021,0,0,2203,-8,0,"",282,263,2013,NA,NA
2025,7,6,7,"G4","G4",20368,"255NV",2053,"VPS","Valparaiso, FL","FL","CVG","Cincinnati, OH","KY",1955,2024,29,1,2304,14,0,"",100,83,600,NA,NA
2025,7,15,2,"B6","B6",20409,"N969JT",1223,"JFK","New York, NY","NY","LAX","Los Angeles, CA","CA",2110,2118,8,0,2359,-30,0,"",341,312,2475,NA,NA
2025,7,7,1,"DL","DL",19790,"N573DT",451,"PDX","Portland, OR","OR","JFK","New York, NY","NY",700,655,-5,0,1510,-26,0,"",315,296,2454,NA,NA
2025,7,20,7,"OO","OO",20304,"N454SW",5042,"DEN","Denver, CO","CO","HYS","Hays, KS","KS",1623,1614,-9,0,1829,-9,0,"",75,42,298,NA,NA
2025,7,30,3,"WN","WN",19393,"N292WN",1531,"BUR","Burbank, CA","CA","OAK","Oakland, CA","CA",1520,1547,27,1,1652,17,0,"",65,51,325,16,0
2025,7,19,6,"AA","AA",19805,"N976UY",2904,"SFO","San Francisco, CA","CA","DFW","Dallas/Fort Worth, TX","TX",800,757,-3,0,1321,-11,0,"",204,181,1464,NA,NA
2025,7,25,5,"WN","WN",19393,"N8638A",1034,"BNA","Nashville, TN","TN","DEN","Denver, CO","CO",730,734,4,0,916,-4,0,"",162,139,1013,NA,NA
2025,7,19,6,"DL","DL",19790,"N588NW",660,"ATL","Atlanta, GA","GA","SLC","Salt Lake City, UT","UT",2005,2039,34,1,2211,9,0,"",212,195,1590,NA,NA
2025,7,25,5,"YX","YX",20452,"N119HQ",4656,"LIT","Little Rock, AR","AR","LGA","New York, NY","NY",731,728,-3,0,1110,-19,0,"",162,142,1085,NA,NA
2025,7,15,2,"DL","DL",19790,"N881DN",3233,"PDX","Portland, OR","OR","SLC","Salt Lake City, UT","UT",1905,1925,20,1,2210,16,0,"",105,90,630,0,0
2025,7,22,2,"DL","DL",19790,"N333DX",1570,"MCO","Orlando, FL","FL","BOS","Boston, MA","MA",1959,2115,76,1,11,60,0,"",176,158,1121,0,0
2025,7,26,6,"MQ","MQ",20398,"N237NN",3788,"RAP","Rapid City, SD","SD","DFW","Dallas/Fort Worth, TX","TX",1026,1021,-5,0,1336,-9,0,"",135,115,835,NA,NA
2025,7,4,5,"DL","DL",19790,"N546DN",2380,"ATL","Atlanta, GA","GA","JFK","New York, NY","NY",1215,1218,3,0,1450,8,0,"",152,101,760,NA,NA
2025,7,4,5,"AA","AA",19805,"N924NN",665,"MTJ","Montrose/Delta, CO","CO","DFW","Dallas/Fort Worth, TX","TX",1439,1442,3,0,1751,2,0,"",129,96,722,NA,NA
2025,7,22,2,"YX","YX",20452,"N445YX",4511,"OMA","Omaha, NE","NE","LGA","New York, NY","NY",700,654,-6,0,1035,-24,0,"",161,144,1148,NA,NA
2025,7,22,2,"AA","AA",19805,"N713UW",310,"DFW","Dallas/Fort Worth, TX","TX","GRR","Grand Rapids, MI","MI",1517,1518,1,0,1827,-18,0,"",129,115,931,NA,NA
2025,7,30,3,"UA","UA",19977,"N17364",1048,"SFO","San Francisco, CA","CA","RDU","Raleigh/Durham, NC","NC",2355,58,63,1,854,46,0,"",296,272,2400,46,0
2025,7,26,6,"WN","WN",19393,"N7888A",3187,"ICT","Wichita, KS","KS","LAS","Las Vegas, NV","NV",1220,1236,16,1,1304,9,0,"",148,134,986,NA,NA
2025,7,20,7,"B6","B6",20409,"N3215J",1308,"ATL","Atlanta, GA","GA","BOS","Boston, MA","MA",2055,2051,-4,0,2321,-17,0,"",150,125,946,NA,NA
2025,7,8,2,"DL","DL",19790,"N554NW",366,"PHX","Phoenix, AZ","AZ","ATL","Atlanta, GA","GA",1452,1442,-10,0,2113,-36,0,"",211,195,1587,NA,NA
2025,7,31,4,"YX","YX",20452,"N239JQ",5742,"LGA","New York, NY","NY","CLT","Charlotte, NC","NC",615,611,-4,0,809,-7,0,"",118,91,544,NA,NA
2025,7,15,2,"HA","HA",19690,"N493HA",276,"HNL","Honolulu, HI","HI","OGG","Kahului, HI","HI",1218,1215,-3,0,1255,-5,0,"",40,23,101,NA,NA
2025,7,31,4,"OO","OO",20304,"N615UX",4737,"SFO","San Francisco, CA","CA","BFL","Bakersfield, CA","CA",2130,2250,80,1,2400,75,0,"",70,42,238,0,0
2025,7,5,6,"OO","OO",20304,"N623UX",5725,"MTJ","Montrose/Delta, CO","CO","DEN","Denver, CO","CO",1335,1334,-1,0,1453,-2,0,"",79,54,197,NA,NA
2025,7,24,4,"AA","AA",19805,"N958XV",885,"BOS","Boston, MA","MA","CLT","Charlotte, NC","NC",1449,1539,50,1,1823,58,0,"",164,104,728,0,0
2025,7,8,2,"DL","DL",19790,"N953DZ",3115,"ATL","Atlanta, GA","GA","SRQ","Sarasota/Bradenton, FL","FL",1520,1513,-7,0,1642,-12,0,"",89,71,444,NA,NA
2025,7,10,4,"OO","OO",20304,"N953SW",5078,"GCC","Gillette, WY","WY","DEN","Denver, CO","CO",520,721,121,1,847,122,0,"",86,53,313,0,121
2025,7,31,4,"AA","AA",19805,"N921US",2263,"DFW","Dallas/Fort Worth, TX","TX","JAX","Jacksonville, FL","FL",1859,5,306,1,340,313,0,"",155,126,917,306,0
2025,7,4,5,"WN","WN",19393,"N8722L",424,"MIA","Miami, FL","FL","AUS","Austin, TX","TX",1430,1528,58,1,1714,44,0,"",166,144,1103,0,33
2025,7,4,5,"DL","DL",19790,"N897DN",1501,"ATL","Atlanta, GA","GA","CMH","Columbus, OH","OH",2020,2014,-6,0,2141,-13,0,"",87,67,447,NA,NA
2025,7,31,4,"OO","OO",20304,"N171SY",3277,"PDX","Portland, OR","OR","FAT","Fresno, CA","CA",2001,1957,-4,0,2146,-14,0,"",109,93,626,NA,NA
2025,7,7,1,"YX","YX",20452,"N741YX",3677,"IND","Indianapolis, IN","IN","ORD","Chicago, IL","IL",1145,1138,-7,0,1201,-4,0,"",83,48,177,NA,NA
2025,7,7,1,"OO","OO",20304,"N315SY",3815,"BNA","Nashville, TN","TN","LGA","New York, NY","NY",600,710,70,1,1024,56,0,"",134,108,764,56,0
2025,7,1,2,"MQ","MQ",20398,"N309JR",3886,"GNV","Gainesville, FL","FL","DFW","Dallas/Fort Worth, TX","TX",708,702,-6,0,826,-28,0,"",144,123,900,NA,NA
2025,7,20,7,"WN","WN",19393,"N8312C",2408,"MDW","Chicago, IL","IL","DAL","Dallas, TX","TX",1100,1122,22,1,1326,11,0,"",124,105,793,NA,NA
2025,7,8,2,"WN","WN",19393,"N8962L",2709,"DEN","Denver, CO","CO","OAK","Oakland, CA","CA",2145,2302,77,1,32,72,0,"",150,129,957,0,0
2025,7,25,5,"AA","AA",19805,"N990NN",3077,"LAS","Las Vegas, NV","NV","ORD","Chicago, IL","IL",937,928,-9,0,1508,-30,0,"",220,183,1514,NA,NA
2025,7,10,4,"WN","WN",19393,"N7857B",2931,"LAS","Las Vegas, NV","NV","AUS","Austin, TX","TX",2040,2217,97,1,254,89,0,"",157,134,1090,0,0
2025,7,11,5,"DL","DL",19790,"N947AT",1826,"DTW","Detroit, MI","MI","MCI","Kansas City, MO","MO",840,829,-11,0,923,-20,0,"",114,91,629,NA,NA
2025,7,14,1,"NK","NK",20416,"N928NK",1414,"EWR","Newark, NJ","NJ","DTW","Detroit, MI","MI",605,557,-8,0,755,-12,0,"",118,76,488,NA,NA
2025,7,17,4,"DL","DL",19790,"N929AT",3088,"DAY","Dayton, OH","OH","ATL","Atlanta, GA","GA",1918,1910,-8,0,2034,-35,0,"",84,67,432,NA,NA
2025,7,9,3,"NK","NK",20416,"N644NK",1195,"MYR","Myrtle Beach, SC","SC","LGA","New York, NY","NY",1047,1040,-7,0,1214,-16,0,"",94,77,563,NA,NA
2025,7,27,7,"AA","AA",19805,"N539UW",633,"PHX","Phoenix, AZ","AZ","DFW","Dallas/Fort Worth, TX","TX",1855,1853,-2,0,2315,-8,0,"",142,119,868,NA,NA
2025,7,3,4,"DL","DL",19790,"N886DN",2924,"SLC","Salt Lake City, UT","UT","MSP","Minneapolis, MN","MN",1100,1100,0,0,1427,-4,0,"",147,123,991,NA,NA
